"Legalcase ID","First Name","Middle Name","Last Name",Company,"Job Title","Home Street","Home Street 2","Home City","Home State","Home Postal Code","Home Country/Region","Home Fax","Work Phone","Home Phone","Mobile Phone","Contact Group","E-mail Address","Web Page","Outstanding Trust Balance","Login Enabled",Archived,Birthday,"Private Notes","License Number","License State","Welcome Message",:Notes,Cases,"Case Link IDs","Created Date"
11257,new,,test,,," ",,,,,Bahamas,,,,,Unassigned,new@gmail.com,ass,0,TRUE,FALSE,,,,,,,,,02/12/2021,
11258,new,,tests,,," ",,,,,,,,,,Unassigned,new4@gmail.com,,0,TRUE,FALSE,,,,,,,,,02/12/2021,
11259,new,,tests,,," ",,,,,,,,,,Unassigned,newres4@gmail.com,,0,TRUE,FALSE,,,,,,,,,02/12/2021,
11260,new,,tests,,," ",,,,,,,,,,Unassigned,rest@gmail.com,,0,TRUE,FALSE,,,,,,,,,02/12/2021,
11261,new,,tests,,," ",,,,,,,,,,Unassigned,rest@gmail.in,,0,TRUE,FALSE,,,,,,,,,02/12/2021,
11262,new,,tests,,," ",,,,,,,,,,Unassigned,truue@gmail.in,,0,TRUE,FALSE,,,,,,,now,602CEC8093F9F,02/12/2021,
11263,kd,,hes,,," ",,,,,,,,,,Unassigned,kd@gmaail.com,,0,FALSE,FALSE,,,,,,,,,02/12/2021,
11267,deploy,,test,,," ",,,,,,,,,,Unassigned,ddss@gmail.com,,0,FALSE,FALSE,,,,,,,"Cmonay Case#1",5F7C08C835FA2,02/24/2021,
11269,test,,test,,," ",,,,,,,,,,Unassigned,test99@gmail.com,,0,FALSE,FALSE,,,,,,,,,02/25/2021,
11270,test,,test,,," ",,,,,,,,,,Unassigned,check@gmail.com,,0,FALSE,FALSE,,,,,,,,,02/25/2021,
11271,test,,test,,," ",,,,,,,,12345678,,Unassigned,kashyap.dave+8@plutustec.com,,0,FALSE,FALSE,,,,,,,,,02/25/2021,
11272,Afterdeployed,,test,,," ",,,,,,,,,,Unassigned,testing.testuser6+222@gmail.com,,0,FALSE,FALSE,,,,,,,,,02/25/2021,
11284,Cleitn,without,email,,," ",,,,,,,,,,Unassigned,testing.testuser6+2@gmail.com2,,0,TRUE,FALSE,,,,,,,,,03/09/2021,
11285,without,m,mail,,," ",,,,,,,,,,Unassigned,,,0,FALSE,FALSE,,,,,,,,,03/09/2021,
11286,without,m,mail,,," ",,,,,,,,,,Unassigned,,,0,FALSE,FALSE,,,,,,,,,03/09/2021,
11287,without,m,mail,,," ",,,,,,,,,,Unassigned,,,0,FALSE,FALSE,,,,,,,,,03/09/2021,
11288,wi,ma,email,,," ",,,,,,,,,,Unassigned,,,0,FALSE,FALSE,,,,,,,,,03/09/2021,
11289,clientWM,m,name,,," ",,,,,,,,,,Unassigned,,,0,FALSE,FALSE,,,,,,,,,03/09/2021,
11290,Clientem2,m,nn,,," ",,,,,,,,,,Unassigned,,,0,FALSE,FALSE,,,,,,,,,03/09/2021,
11291,Clientem2,m,nn,,," ",,,,,,,,,,Unassigned,,,0,FALSE,FALSE,,,,,,,,,03/09/2021,
11237,yesterday,,Test1,,," ",,,,,,,,,,Unassigned,test6@gmail.in,,0,FALSE,FALSE,,bgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsfbgsfdgdfgdsf,,,,,CASE000011,60461C6377FBE,09/22/2020,
11236,yesterday,,Test1,,," ",,,,,,,,,,Unassigned,test@gmail.in,,0,FALSE,FALSE,,,,,,,testCaseff0091,60461BF5717DB,03/18/2021,
11234,yesterday,,Test1,,," ",,,,,,,,,,Unassigned,test@yahoo.com,,0,FALSE,FALSE,,,,,,,,,03/18/2021,
11254,friday,,Test,,," ",,,,,,,,,,Unassigned,friday@gmail.com,,0,FALSE,FALSE,,,,,,,,,03/18/2021,
11255,friday,,test,,," ",,,,,,,,,,Unassigned,test9@gmail.com,,0,FALSE,FALSE,,,,,,,,,03/18/2021,
11301,Todaycontact,,test,,," ",,,,,,,,,,Unassigned,testing.testuser6+21@gmail.com,,0,TRUE,FALSE,,,,,,,,,03/19/2021,
11320,Kishan,M,Rathod,,," ",,,,,,,,,,,kishan.rathod@plutustec.com,,0,TRUE,FALSE,,,,,,,sdf,607D4AE48AA7D,04/01/2021,
11344,rk,m,abc,,," ",,,,,,,,,90909090,,rk@gmail.com,,0,TRUE,FALSE,,,,,,,Ok,6087C7CD1496B,04/27/2021,
11345,12312312312,123,123123,,," ",,,,,,,,,,,1231231@sa.da,,0,TRUE,FALSE,,,,,,,,,04/30/2021,
11346,ASD,ASD,ASDA,,," ",,,,,,,,,,"Contact Group",testing.testuser6+88@gmail.com,,0,TRUE,FALSE,,,,,,,,,04/30/2021,
11347,sdasd,asd,asd,,," ",,,,,,,,,,,testing.testuser6+13@gmail.com,,0,TRUE,FALSE,,,,,,,,,04/30/2021,
11348,test,2,22,,," ",,,,,,,,,,,testing.testuser6+31@gmail.com,,0,TRUE,FALSE,,,,,,,,,04/30/2021,
11349,xxx,hhh,hhh,,," ",,,,,,,,,,"Contact Group",testing.testuser6+123@gmail.com,,0,TRUE,FALSE,,,,,,,,,04/30/2021,
