"Legalcase ID","First Name","Middle Name","Last Name",Company,"Job Title","Home Street","Home Street 2","Home City","Home State","Home Postal Code","Home Country/Region","Home Fax","Work Phone","Home Phone","Mobile Phone","Contact Group","E-mail Address","Web Page","Outstanding Trust Balance","Login Enabled",Archived,Birthday,"Private Notes","License Number","License State","Welcome Message",:Notes,Cases,"Case Link IDs","Created Date"
11275,Full,Detals,LEad,[],,"Address1 ",Address2,City,State,123123,Iceland,12312312312,87987988798,9876543210,Unassigned,fulldetail@mail.com,'-',0,FALSE,FALSE,,,DL,LS,,,"Potential Case: Full LEad",5FA91BCCA7ED7,11/09/2020,
11325,asdas,kkhjklj,ljlklljk,"[""New Company""]",," ",,,,,Iceland,,,9876543210,Unassigned,lkjlk@ASdas.as,'-',0,FALSE,FALSE,,,,,,,,,11/12/2020,
11328,asdasd,asd,asdasda,"[""Company""","""c1""","""3""","""111""","""2222""]",21312312312312,"Address ",Address2,City,Gujarat,123,Afghanistan,22222222,11111111,9876543210,"Goup 1",,'-',0,FALSE,FALSE,01/06/2021,"xsdad sdasdasd","Driver License"," State",22asd,,,,,11/12/2020,
11329,qweqw,q2,12,"[""Company""","""c1""","""3""","""2222""]",," ",,,,,Afghanistan,,,9876543210,Unassigned,12@Asda.sd2,'-',0,FALSE,FALSE,,,,,,,,,11/12/2020,
11334,gg,jhqq,jj,[],," ",,,,,Afghanistan,,,9876543210,Unassigned,ttsst@asdas.comm,'-',0,FALSE,FALSE,,,,,,,,,11/12/2020,
11344,zzX---,ZX,zXZ,[],,"Street 12",,CA,RA,123123,"Aland Islands",,,,Unassigned,sads@a.s22a,'-',0,TRUE,FALSE,,,,,,,11111111111222222222,5FE32DCAE3A2C,12/15/2020,
11347,Client,m,mm,[],," ",,,,,"Aland Islands",,,,"Group 2",testing.testuser6+22@gmail.com,'-',0,FALSE,FALSE,,,,,,,,,12/29/2020,
11348,testdd,d,dd,"[""123""]",," ",,,,,"Aland Islands",,,,Unassigned,test@mail.com123,'-',0,TRUE,FALSE,,,,,,,111CASE--1,5F731981C74F2,01/04/2021,
11349,asdas,ASD,sda,"[""New Company""]",," ",,,,,"Aland Islands",,,,Unassigned,asdas@asdas.d,'-',0,TRUE,FALSE,,,,,,,,,01/06/2021,
11350,from,company,save,"[""New Company""]",,"asdas ",,,,,"Aland Islands",12312312,12312312312,21321,C223,fromcom@save.com,'-',0,TRUE,FALSE,,,,,,,,,01/06/2021,
11355,12312,1231,2312,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11356,12312,1231,2312,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11357,client,without,mail,[],," ",,,,,"Aland Islands",,,,Unassigned,testing.testuser6+2@gmail.com22222,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11358,client,without,mail,[],," ",,,,,"Aland Islands",,,,Unassigned,asd,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11359,aa,aa,aa,[],," ",,,,,"Aland Islands",,,,Unassigned,asda@as2Asd.123aa1,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11360,asdas,asda,asdas,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11361,asda,asd,asd,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,11111110010101010101,60599AAB044FA,03/09/2021,
11362,asda,asd,asd,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11363,asda,asd,asd,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11364,asda,sasd,as,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11365,asda,sasd,as,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11366,asda,sasd,as,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11367,asda,sasd,as,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11368,asdas,dasd,sasdas,[],," ",,,,,"Aland Islands",,,,Unassigned,,'-',0,FALSE,FALSE,,,,,,,,,03/09/2021,
11369,tes,ss,ss,[],," ",,,,,"Aland Islands",,,,Unassigned,ss@asd.asd,'-',0,TRUE,FALSE,,,,,,,,,03/11/2021,
11370,tes,ss,ss,[],," ",,,,,"Aland Islands",,,,Unassigned,ss@asd.asd11,'-',0,TRUE,FALSE,,,,,,,,,03/11/2021,
11371,AutoCa,ts,jdjj,[],," ",,,,,"Aland Islands",,,,Unassigned,jhasd@ad.as.xdd,'-',0,TRUE,FALSE,,,,,,,,,03/11/2021,
11372,7777,777,777,[],," ",,,,,"Aland Islands",,,,Unassigned,777@mai.asd,'-',0,TRUE,FALSE,,,,,,,,,03/11/2021,
11373,888,888,88888,[],," ",,,,,"Aland Islands",,,,C2232,888@asd.asd,'-',0,TRUE,FALSE,,,,,,,asdasdasdasdas,5f7318804444c,03/11/2021,
11160,tajax,m,load,[],," ",,,,,"Aland Islands",,,9876543210,Unassigned,tajax@mail.com,'-',0,FALSE,FALSE,,,,,,,lasjlkasjdkllkj,604609EC2F016,03/18/2021,
11266,Mytestb,,hh,[],," ",,,,,"Aland Islands",,,9876543210,Unassigned,hzsdasm2ASd@asd.as.cosss,'-',0,FALSE,FALSE,,,,,,,"Potential Case: Mytestb hh",5FA919231EA9F,03/18/2021,
11272,ssssss,ee111,"last name",[],,"Address1 ",,City,State,29183789,India,23123123123123,1231231231231,9876543210,Unassigned,lead@mailc.com,'-',0,FALSE,FALSE,,,,,,,"Potential Case: ssssss last name",5FA909E66105A,03/18/2021,
11273,zxdsdasdas,asdas,dasdas,[],," ",,,,,India,,,9876543210,Unassigned,test@mail.com,'-',0,FALSE,FALSE,,,,,,,"Potential Case: zxdsdasdas dasdasa2",5FA909176DDCE,03/18/2021,
11274,"my lead",2,22,[],," ",,,,,India,,,9876543210,Unassigned,lead333@mail.com,'-',0,FALSE,FALSE,,,,,,,"Potential Case: my lead 22",5FA90B7D16041,03/18/2021,
11327,asdasd,asd,asdasda,[],," ",,,,,India,,,9876543210,Unassigned,asdas@as.22.2s,'-',0,FALSE,FALSE,02/02/2001,,,,,,,,03/18/2021,
